"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"04010","406","503","112","96","454","247","789","29","91","07-05-2023 10:00:04"
"04011","802","934","227","161","791","557","1517","68","151","07-05-2023 10:00:04"
"04012","624","710","129","88","687","430","1183","38","113","07-05-2023 10:00:04"
"04013","560","649","114","117","627","351","1043","49","117","07-05-2023 10:00:04"
"04014","361","437","85","76","385","252","672","32","94","07-05-2023 10:00:04"
"04015","864","1035","201","158","1067","473","1600","86","213","07-05-2023 10:00:04"
"04016","506","580","116","78","575","317","924","44","118","07-05-2023 10:00:04"
"04017","526","648","155","86","590","343","995","70","109","07-05-2023 10:00:04"
"04018","674","836","156","170","777","407","1275","84","151","07-05-2023 10:00:04"
"04019","670","742","167","186","721","338","1186","73","153","07-05-2023 10:00:04"
"04020","690","796","194","171","758","363","1283","71","132","07-05-2023 10:00:04"
"04021","596","724","163","126","690","341","1096","74","150","07-05-2023 10:00:04"
"04022","816","872","163","208","915","402","1262","100","326","07-05-2023 10:00:04"
"04023","522","568","147","138","521","284","910","42","138","07-05-2023 10:00:04"
"04024","475","553","133","109","464","322","946","22","60","07-05-2023 10:00:04"
"04025","534","632","143","121","645","257","1030","63","73","07-05-2023 10:00:04"
"04026","580","659","150","89","667","333","1043","71","125","07-05-2023 10:00:04"
"04027","608","710","177","115","751","275","1015","100","203","07-05-2023 10:00:04"
"04028","619","666","164","94","661","366","1048","80","157","07-05-2023 10:00:04"
"04029","517","626","153","74","553","363","1025","29","89","07-05-2023 10:00:04"
"04030","825","974","246","154","822","577","1589","79","131","07-05-2023 10:00:04"
"04031","1123","1168","275","226","1345","445","1444","99","748","07-05-2023 10:00:04"
"04032","718","864","184","127","845","426","1346","41","195","07-05-2023 10:00:04"
"04033","522","629","142","83","602","324","980","43","128","07-05-2023 10:00:04"
"04034","672","760","146","129","653","504","1303","43","86","07-05-2023 10:00:04"
"04035","634","756","163","112","688","427","1188","72","130","07-05-2023 10:00:04"
"04036","784","978","214","184","937","427","1402","74","286","07-05-2023 10:00:04"
"04037","989","1210","230","220","1144","605","1820","77","302","07-05-2023 10:00:04"
"04038","569","685","118","117","626","393","1060","48","146","07-05-2023 10:00:04"
"04039","550","644","150","117","677","250","977","50","167","07-05-2023 10:00:04"
"04040","806","806","201","180","953","278","1193","85","334","07-05-2023 10:00:04"
"04041","644","712","135","107","813","301","1028","40","288","07-05-2023 10:00:04"
"04042","845","988","164","156","995","518","1454","59","320","07-05-2023 10:00:04"
"04043","748","870","178","124","763","553","1465","40","113","07-05-2023 10:00:04"
"04044","787","841","168","132","921","407","1294","82","252","07-05-2023 10:00:04"
"04045","663","761","187","101","750","386","1173","58","193","07-05-2023 10:00:04"
"04046","1157","1245","277","224","1080","821","2158","95","149","07-05-2023 10:00:04"
"04047","905","1026","260","167","986","518","1671","67","193","07-05-2023 10:00:04"
"04048","698","805","167","122","773","441","1304","69","130","07-05-2023 10:00:04"
"04049","550","649","159","182","582","276","910","83","206","07-05-2023 10:00:04"
"04050","968","1074","311","233","925","573","1842","90","110","07-05-2023 10:00:04"
"04051","761","926","256","187","856","388","1436","76","175","07-05-2023 10:00:04"
"04052","975","1245","322","282","983","633","1898","127","195","07-05-2023 10:00:04"
"04053","832","938","259","220","983","308","1233","129","408","07-05-2023 10:00:04"
"04054","510","573","159","135","481","308","885","55","143","07-05-2023 10:00:04"
"04055","760","831","282","239","699","371","1212","229","150","07-05-2023 10:00:04"
"04056","902","987","265","352","913","359","1261","198","430","07-05-2023 10:00:04"
"04084","664","754","181","153","645","439","1224","65","129","07-05-2023 10:00:04"
"05001","953","928","309","235","1105","232","1492","199","190","07-05-2023 10:00:04"
"05002","777","856","245","202","799","387","1371","144","118","07-05-2023 10:00:04"
"05003","678","721","257","156","741","245","1192","105","102","07-05-2023 10:00:04"
"05004","467","619","165","128","478","315","943","64","79","07-05-2023 10:00:04"
"05005","630","658","189","218","611","270","932","138","218","07-05-2023 10:00:04"
"05006","914","945","274","320","853","412","1473","196","190","07-05-2023 10:00:04"
"05007","988","981","265","211","1066","427","1476","173","320","07-05-2023 10:00:04"
"05008","768","896","271","200","839","354","1425","125","114","07-05-2023 10:00:04"
"05009","755","933","260","192","862","374","1415","106","167","07-05-2023 10:00:04"
"05010","692","819","263","179","739","330","1281","123","107","07-05-2023 10:00:04"
"05011","649","763","229","154","732","297","1184","104","124","07-05-2023 10:00:04"
"05012","643","769","202","171","761","278","1199","101","112","07-05-2023 10:00:04"
"05013","798","885","243","197","896","347","1432","113","138","07-05-2023 10:00:04"
"05014","767","854","273","141","814","393","1342","138","141","07-05-2023 10:00:04"
"05015","733","831","297","196","761","310","1333","103","128","07-05-2023 10:00:04"
"05016","854","1069","388","215","996","324","1595","138","190","07-05-2023 10:00:04"
"05017","707","827","242","183","739","370","1350","88","96","07-05-2023 10:00:04"
"05018","578","693","223","145","604","299","1073","94","104","07-05-2023 10:00:04"
"05019","726","919","283","180","772","410","1460","64","121","07-05-2023 10:00:04"
"05020","511","630","123","141","620","257","928","53","160","07-05-2023 10:00:04"
"05021","590","690","213","163","612","292","1037","55","188","07-05-2023 10:00:04"
"05022","773","961","277","167","824","466","1534","88","112","07-05-2023 10:00:04"
"05023","664","844","230","151","800","327","1274","85","149","07-05-2023 10:00:04"
"05024","913","1044","321","275","916","445","1726","107","124","07-05-2023 10:00:04"
"05025","598","682","190","198","623","269","1111","46","123","07-05-2023 10:00:04"
"05026","668","742","243","194","667","306","1299","43","68","07-05-2023 10:00:04"
"05027","650","721","212","227","622","310","1230","75","66","07-05-2023 10:00:04"
"05028","851","831","259","240","866","317","1420","72","190","07-05-2023 10:00:04"
"05029","815","881","294","259","812","331","1502","103","91","07-05-2023 10:00:04"
"05030","651","739","236","207","640","307","1283","37","70","07-05-2023 10:00:04"
"05031","739","849","232","251","718","387","1361","96","131","07-05-2023 10:00:04"
"05032","879","984","286","281","874","422","1450","154","259","07-05-2023 10:00:04"
"05033","688","794","280","183","722","297","1232","103","147","07-05-2023 10:00:04"
"05034","550","653","157","160","632","254","996","63","144","07-05-2023 10:00:04"
"05035","505","542","120","133","446","348","943","38","66","07-05-2023 10:00:04"
"05036","839","983","298","256","869","399","1581","98","143","07-05-2023 10:00:04"
"05037","655","838","229","212","733","319","1284","66","143","07-05-2023 10:00:04"
"05038","636","789","171","131","805","318","1084","103","238","07-05-2023 10:00:04"
"05039","748","824","254","208","705","405","1419","69","84","07-05-2023 10:00:04"
"05040","679","829","219","171","838","280","1227","101","180","07-05-2023 10:00:04"
"05041","1028","1229","283","241","1346","387","1460","154","643","07-05-2023 10:00:04"
"05042","635","685","179","121","737","283","1123","64","133","07-05-2023 10:00:04"
"05043","681","834","207","150","854","304","1225","95","195","07-05-2023 10:00:04"
"05044","600","728","215","121","730","262","1099","89","140","07-05-2023 10:00:04"
"05045","744","867","278","224","784","325","1437","85","89","07-05-2023 10:00:04"
"05046","497","664","154","129","493","385","1074","42","45","07-05-2023 10:00:04"
"05047","536","676","176","183","592","261","1088","44","80","07-05-2023 10:00:04"
"05048","541","702","178","147","637","281","1087","58","98","07-05-2023 10:00:04"
"05049","777","917","239","224","851","380","1467","82","145","07-05-2023 10:00:04"
"05050","786","898","236","199","892","357","1434","74","176","07-05-2023 10:00:04"
"05051","784","898","213","268","816","385","1442","73","167","07-05-2023 10:00:04"
"05052","647","797","204","207","696","337","1277","76","91","07-05-2023 10:00:04"
"05053","703","796","200","219","705","375","1330","71","98","07-05-2023 10:00:04"
"05054","468","551","136","144","486","253","874","62","83","07-05-2023 10:00:04"
"05055","650","750","178","228","648","346","1239","48","113","07-05-2023 10:00:04"
"05056","498","728","175","144","575","332","976","85","165","07-05-2023 10:00:04"
"05057","778","889","192","211","787","477","1454","62","151","07-05-2023 10:00:04"
"05058","717","842","211","208","785","355","1222","135","202","07-05-2023 10:00:04"
"05059","661","868","170","185","805","369","1245","103","181","07-05-2023 10:00:04"
"05060","528","656","175","159","590","260","937","108","139","07-05-2023 10:00:04"
"05061","640","817","124","121","885","327","1099","150","208","07-05-2023 10:00:04"
"05062","738","894","223","192","875","342","1334","121","177","07-05-2023 10:00:04"
"05063","715","874","215","175","857","342","1325","99","165","07-05-2023 10:00:04"
"05064","728","956","225","199","938","322","1278","163","243","07-05-2023 10:00:04"
"05065","791","936","227","219","914","367","1317","149","261","07-05-2023 10:00:04"
"05066","597","739","161","171","691","313","1116","84","136","07-05-2023 10:00:04"
"05067","638","757","194","163","717","321","1086","111","198","07-05-2023 10:00:04"
"05068","757","841","209","175","909","305","1285","143","170","07-05-2023 10:00:04"
"05069","859","920","261","188","1011","319","1449","143","187","07-05-2023 10:00:04"
"05070","645","805","193","157","782","318","1152","123","175","07-05-2023 10:00:04"
"05071","852","998","228","211","1075","336","1326","181","343","07-05-2023 10:00:04"
"05072","791","951","243","169","902","428","1444","99","199","07-05-2023 10:00:04"
"05073","733","864","207","146","901","343","1328","108","161","07-05-2023 10:00:04"
"05074","735","921","229","203","843","381","1380","127","149","07-05-2023 10:00:04"
"05075","832","1047","248","209","1000","422","1523","151","205","07-05-2023 10:00:04"
"05076","668","788","212","134","751","359","1199","93","164","07-05-2023 10:00:04"
"05077","708","847","205","258","804","288","1300","82","173","07-05-2023 10:00:04"
"05078","991","1140","326","305","1070","430","1828","112","191","07-05-2023 10:00:04"
"05079","572","695","159","149","671","288","1082","76","109","07-05-2023 10:00:04"
"05080","613","735","161","151","766","270","1101","98","149","07-05-2023 10:00:04"
"05081","737","894","231","169","895","336","1322","128","181","07-05-2023 10:00:04"
"05082","754","912","218","164","954","330","1315","130","221","07-05-2023 10:00:04"
"05083","588","710","145","129","723","301","1099","95","104","07-05-2023 10:00:04"
"05084","624","758","175","123","768","316","1097","129","156","07-05-2023 10:00:04"
"05085","618","724","176","146","766","254","1062","110","170","07-05-2023 10:00:04"
"05086","609","724","171","133","756","273","1085","115","133","07-05-2023 10:00:04"
"05087","738","909","181","193","946","327","1312","99","236","07-05-2023 10:00:04"
"05088","876","926","203","236","977","386","1459","114","229","07-05-2023 10:00:04"
"05089","890","990","271","185","1026","398","1538","143","199","07-05-2023 10:00:04"
"05090","877","997","220","158","1082","414","1504","178","192","07-05-2023 10:00:04"
"05091","686","853","194","160","794","391","1254","127","158","07-05-2023 10:00:04"
"05092","737","907","202","220","865","357","1382","86","176","07-05-2023 10:00:04"
"05093","512","655","149","118","668","232","955","70","142","07-05-2023 10:00:04"
"05094","1247","1549","404","345","1439","608","2340","157","299","07-05-2023 10:00:04"
"05095","768","974","256","201","905","380","1389","93","260","07-05-2023 10:00:04"
"05096","520","622","142","112","637","251","939","68","135","07-05-2023 10:00:04"
"05097","799","882","268","179","912","322","1374","136","171","07-05-2023 10:00:04"
"05098","690","829","167","132","852","368","1246","93","180","07-05-2023 10:00:04"
"06001","544","719","167","118","719","259","945","110","208","07-05-2023 10:00:04"
"06002","686","818","162","147","833","362","1179","108","217","07-05-2023 10:00:04"
"06003","1133","1256","322","181","1434","452","1826","206","357","07-05-2023 10:00:04"
"06004","684","746","164","136","797","333","1177","93","160","07-05-2023 10:00:04"
"06006","502","528","139","98","557","236","897","44","89","07-05-2023 10:00:04"
"06007","951","1076","269","209","1158","391","1666","119","242","07-05-2023 10:00:04"
"06008","949","1109","243","218","1144","453","1598","141","319","07-05-2023 10:00:04"
"06009","618","697","165","173","690","287","1155","67","93","07-05-2023 10:00:04"
"06010","486","541","110","116","521","280","858","50","119","07-05-2023 10:00:04"
"06011","625","702","139","147","690","351","1153","64","110","07-05-2023 10:00:04"
"06012","546","641","141","109","597","340","968","91","128","07-05-2023 10:00:04"
"06013","870","978","203","175","1123","347","1419","124","305","07-05-2023 10:00:04"
"06014","645","816","171","143","766","381","1202","72","187","07-05-2023 10:00:04"
"06015","692","785","174","150","874","279","1109","79","289","07-05-2023 10:00:04"
"06016","728","888","201","165","975","275","1269","83","264","07-05-2023 10:00:04"
"06017","687","769","182","155","830","289","1190","90","176","07-05-2023 10:00:04"
"06018","651","709","165","93","831","271","997","167","196","07-05-2023 10:00:04"
"06019","760","834","205","157","915","317","1229","133","232","07-05-2023 10:00:04"
"06020","547","655","135","120","664","283","911","92","199","07-05-2023 10:00:04"
"06021","643","746","192","128","717","352","1124","78","187","07-05-2023 10:00:04"
"06022","669","719","157","172","740","319","1064","134","190","07-05-2023 10:00:04"
"06023","601","674","154","101","584","436","1195","40","40","07-05-2023 10:00:04"
"06024","778","918","235","147","882","432","1425","101","170","07-05-2023 10:00:04"
"06025","638","772","188","134","713","375","1278","38","94","07-05-2023 10:00:04"
"06026","489","603","114","97","607","274","856","83","153","07-05-2023 10:00:04"
"06027","531","662","144","120","626","303","994","77","122","07-05-2023 10:00:04"
"06028","637","712","155","107","836","251","1004","128","217","07-05-2023 10:00:04"
"06029","635","734","139","93","786","351","1088","110","171","07-05-2023 10:00:04"
"06030","664","750","161","129","881","243","975","192","247","07-05-2023 10:00:04"
"06031","508","609","98","72","722","225","832","140","145","07-05-2023 10:00:04"
"06032","521","651","126","83","703","260","935","98","139","07-05-2023 10:00:04"
"06033","568","713","125","111","756","289","970","148","163","07-05-2023 10:00:04"
"06034","520","655","119","86","723","247","920","118","137","07-05-2023 10:00:04"
"06035","521","572","110","82","634","267","876","78","139","07-05-2023 10:00:04"
"06036","641","812","150","164","744","395","1141","115","197","07-05-2023 10:00:04"
"06037","523","570","157","123","585","228","850","116","127","07-05-2023 10:00:04"
"06038","645","878","189","144","905","285","1155","163","205","07-05-2023 10:00:04"
"06039","735","916","177","120","1113","241","1108","257","286","07-05-2023 10:00:04"
"06040","742","954","169","178","962","387","1237","199","260","07-05-2023 10:00:04"
"06041","778","967","209","183","1019","334","1331","160","254","07-05-2023 10:00:04"
"06042","802","923","214","183","1039","289","1245","171","309","07-05-2023 10:00:04"
"06043","627","703","157","139","802","232","861","182","287","07-05-2023 10:00:04"
"06044","785","881","183","218","970","295","1156","229","281","07-05-2023 10:00:04"
"06045","587","665","123","114","814","201","868","173","211","07-05-2023 10:00:04"
"06046","489","597","109","83","710","184","812","114","160","07-05-2023 10:00:04"
"06047","542","687","114","102","834","179","803","219","207","07-05-2023 10:00:04"
"06048","673","749","127","121","959","215","931","209","282","07-05-2023 10:00:04"
"06049","477","638","120","105","682","208","779","143","193","07-05-2023 10:00:04"
"06050","633","693","127","106","884","209","888","188","250","07-05-2023 10:00:04"
"06051","522","684","131","121","751","203","903","144","159","07-05-2023 10:00:04"
"06052","668","802","143","118","913","296","1110","184","176","07-05-2023 10:00:04"
"06053","721","849","170","105","1010","285","1105","215","250","07-05-2023 10:00:04"
"06054","772","823","183","127","1027","258","1140","229","226","07-05-2023 10:00:04"
"06055","632","772","130","115","885","274","1068","143","193","07-05-2023 10:00:04"
"06056","758","880","156","137","1141","204","1119","219","300","07-05-2023 10:00:04"
"06057","683","851","159","109","994","272","1086","200","248","07-05-2023 10:00:04"
"06058","771","969","160","140","1162","278","1218","225","297","07-05-2023 10:00:04"
"06059","693","805","147","121","918","312","1128","163","207","07-05-2023 10:00:04"
"06060","813","926","163","164","1110","302","1293","199","247","07-05-2023 10:00:04"
"06061","646","717","129","97","871","266","1017","133","213","07-05-2023 10:00:04"
"06062","564","693","135","113","738","271","989","104","164","07-05-2023 10:00:04"
"06063","662","808","157","117","926","270","1115","148","207","07-05-2023 10:00:04"
"06064","897","1045","201","170","1129","442","1535","164","243","07-05-2023 10:00:04"
"06065","518","630","121","87","640","300","934","83","131","07-05-2023 10:00:04"
"06066","436","553","101","62","595","231","754","121","114","07-05-2023 10:00:04"
"06067","839","958","177","134","1140","346","1343","182","272","07-05-2023 10:00:04"
"06068","704","866","165","139","909","357","1224","148","198","07-05-2023 10:00:04"
"06069","488","591","93","90","663","233","796","123","160","07-05-2023 10:00:04"
"06070","838","1069","179","186","1142","400","1408","190","309","07-05-2023 10:00:04"
"06071","499","600","95","94","646","264","868","74","157","07-05-2023 10:00:04"
"06072","749","893","176","123","889","454","1344","139","159","07-05-2023 10:00:04"
"06073","598","711","95","113","733","368","1062","104","143","07-05-2023 10:00:04"
"06074","534","607","130","107","660","244","852","92","197","07-05-2023 10:00:04"
"06075","515","573","122","85","526","355","930","57","101","07-05-2023 10:00:04"
"06076","599","685","158","88","655","383","1074","65","145","07-05-2023 10:00:04"
"06077","528","644","124","102","728","218","894","104","174","07-05-2023 10:00:04"
"06078","606","717","114","109","875","225","983","144","196","07-05-2023 10:00:04"
"06079","521","622","150","89","633","271","922","97","124","07-05-2023 10:00:04"
"06080","547","636","129","104","640","310","952","74","157","07-05-2023 10:00:04"
"06081","616","723","142","98","791","308","1037","120","182","07-05-2023 10:00:04"
"06082","1719","1716","374","368","2224","469","1884","285","1266","07-05-2023 10:00:04"
"06083","785","871","176","119","894","467","1437","89","130","07-05-2023 10:00:04"
"06084","657","799","166","125","860","305","1193","107","156","07-05-2023 10:00:04"
"06085","602","725","141","124","716","346","1066","119","142","07-05-2023 10:00:04"
"06086","441","531","100","86","503","283","847","55","70","07-05-2023 10:00:04"
"06087","846","991","208","112","861","656","1639","78","120","07-05-2023 10:00:04"
"06088","546","690","135","101","687","313","1064","67","105","07-05-2023 10:00:04"
"07001","700","877","159","116","775","527","1377","62","138","07-05-2023 10:00:04"
"07002","475","617","97","80","592","323","950","47","95","07-05-2023 10:00:04"
"07003","640","748","175","122","810","281","1036","106","246","07-05-2023 10:00:04"
"07004","719","860","157","138","926","358","1154","120","305","07-05-2023 10:00:04"
"07005","683","773","144","117","882","313","1160","87","209","07-05-2023 10:00:04"
"07006","447","503","75","93","479","303","824","50","76","07-05-2023 10:00:04"
"07007","628","804","133","113","756","430","1168","73","191","07-05-2023 10:00:04"
"07008","656","760","134","115","706","461","1214","57","145","07-05-2023 10:00:04"
"07009","529","712","111","94","791","245","935","105","201","07-05-2023 10:00:04"
"07010","607","699","138","117","781","270","1012","91","203","07-05-2023 10:00:04"
"07011","541","625","79","92","727","268","805","134","227","07-05-2023 10:00:04"
"07012","717","849","197","108","899","362","1237","116","213","07-05-2023 10:00:04"
"07013","584","649","100","94","671","368","1048","43","142","07-05-2023 10:00:04"
"07014","396","466","74","74","502","212","673","49","140","07-05-2023 10:00:04"
"07015","655","750","170","113","763","359","1171","70","164","07-05-2023 10:00:04"
"07016","653","699","140","133","722","357","1157","86","109","07-05-2023 10:00:04"
"07017","816","1008","232","174","1053","365","1441","119","264","07-05-2023 10:00:04"
"07018","794","929","212","160","1004","347","1395","76","252","07-05-2023 10:00:04"
"07019","766","833","197","137","907","358","1266","101","232","07-05-2023 10:00:04"
"07020","841","922","222","180","1022","339","1336","96","331","07-05-2023 10:00:04"
"07021","521","571","129","103","572","288","926","54","112","07-05-2023 10:00:04"
"07022","545","629","130","124","644","276","979","49","146","07-05-2023 10:00:04"
"07023","639","656","138","113","797","247","1032","98","165","07-05-2023 10:00:04"
"07024","721","806","185","142","890","310","1237","77","213","07-05-2023 10:00:04"
"07025","727","794","179","148","919","275","1124","101","296","07-05-2023 10:00:04"
"07026","534","609","139","83","623","298","936","70","137","07-05-2023 10:00:04"
"07027","999","1129","331","228","1178","391","1685","132","311","07-05-2023 10:00:04"
"07028","753","771","197","139","935","253","1169","101","254","07-05-2023 10:00:04"
"07029","642","703","137","127","741","340","1072","80","193","07-05-2023 10:00:04"
"07030","686","801","194","137","831","325","1159","61","267","07-05-2023 10:00:04"
"07031","756","841","200","148","957","292","1211","76","310","07-05-2023 10:00:04"
"07032","716","762","159","149","861","309","1197","59","222","07-05-2023 10:00:04"
"07033","709","800","162","140","865","342","1217","102","190","07-05-2023 10:00:04"
"07034","840","980","233","173","1063","351","1509","95","216","07-05-2023 10:00:04"
"07035","825","943","201","166","979","422","1505","76","187","07-05-2023 10:00:04"
"07036","667","777","146","128","821","349","1195","66","183","07-05-2023 10:00:04"
"07037","729","822","146","164","879","362","1235","75","241","07-05-2023 10:00:04"
"07038","611","672","125","130","695","333","1065","73","145","07-05-2023 10:00:04"
"07039","757","871","143","169","1000","316","1309","81","238","07-05-2023 10:00:04"
"07040","688","809","159","123","924","291","1176","98","223","07-05-2023 10:00:04"
"07041","627","797","159","125","882","258","1048","100","276","07-05-2023 10:00:04"
"07042","743","888","185","110","974","362","1317","64","250","07-05-2023 10:00:04"
"07043","704","792","175","147","857","317","1199","70","227","07-05-2023 10:00:04"
"07044","607","705","109","104","712","387","1123","66","123","07-05-2023 10:00:04"
"07045","821","861","216","160","974","332","1337","85","260","07-05-2023 10:00:04"
"07046","640","752","160","120","731","381","1119","66","207","07-05-2023 10:00:04"
"07047","733","797","168","125","904","333","1237","62","231","07-05-2023 10:00:04"
"07048","607","713","141","117","741","321","1099","65","156","07-05-2023 10:00:04"
"07049","577","648","119","103","673","330","1004","51","170","07-05-2023 10:00:04"
"07050","577","643","142","119","735","224","943","75","202","07-05-2023 10:00:04"
"07051","863","1006","240","176","1113","340","1482","90","297","07-05-2023 10:00:04"
"07052","636","694","200","108","660","362","1202","64","64","07-05-2023 10:00:04"
"07053","708","754","165","139","800","358","1302","37","123","07-05-2023 10:00:04"
"07054","811","897","241","178","898","391","1510","51","147","07-05-2023 10:00:04"
"07055","552","660","147","139","582","344","1136","27","49","07-05-2023 10:00:04"
"07056","598","632","139","133","673","285","1072","61","97","07-05-2023 10:00:04"
"07057","693","792","187","157","802","339","1344","40","101","07-05-2023 10:00:04"
"07058","651","700","155","133","730","333","1246","34","71","07-05-2023 10:00:04"
"07059","667","688","144","119","800","292","1070","99","186","07-05-2023 10:00:04"
"07060","933","988","193","186","1161","381","1551","110","260","07-05-2023 10:00:04"
"07061","583","601","143","128","629","284","1041","34","109","07-05-2023 10:00:04"
"07062","652","688","172","117","787","264","1093","65","182","07-05-2023 10:00:04"
"07063","705","768","199","137","826","311","1204","31","238","07-05-2023 10:00:04"
"07064","803","926","199","200","968","362","1399","52","278","07-05-2023 10:00:04"
"07065","812","957","215","190","1012","352","1252","91","426","07-05-2023 10:00:04"
"07066","863","955","243","155","1045","375","1377","69","372","07-05-2023 10:00:04"
"07067","764","849","201","182","953","277","1185","68","360","07-05-2023 10:00:04"
"07068","624","714","161","134","777","266","1006","39","293","07-05-2023 10:00:04"
"07069","704","771","163","142","860","310","1098","58","319","07-05-2023 10:00:04"
"07070","659","782","162","162","808","309","1119","21","301","07-05-2023 10:00:04"
"07071","627","729","146","122","696","392","1177","29","150","07-05-2023 10:00:04"
"07072","685","770","144","168","832","311","1170","46","239","07-05-2023 10:00:04"
"07073","547","623","139","98","620","313","916","31","223","07-05-2023 10:00:04"
"07074","845","894","216","187","980","356","1381","54","304","07-05-2023 10:00:04"
"07075","591","638","136","112","693","288","965","21","243","07-05-2023 10:00:04"
"07076","672","741","163","152","771","327","1120","39","254","07-05-2023 10:00:04"
"07077","646","680","146","144","771","265","1070","33","223","07-05-2023 10:00:04"
"07078","701","744","194","138","818","295","1139","72","234","07-05-2023 10:00:04"
"07079","711","818","176","154","838","361","1156","27","346","07-05-2023 10:00:04"
"07080","857","1003","293","182","1047","338","1498","62","300","07-05-2023 10:00:04"
"07081","919","996","173","210","1059","473","1612","57","246","07-05-2023 10:00:04"
"07082","596","665","124","141","741","255","1043","45","173","07-05-2023 10:00:04"
"07083","663","735","156","132","782","328","1103","35","260","07-05-2023 10:00:04"
"07084","668","711","171","121","808","279","1052","60","267","07-05-2023 10:00:04"
"07085","646","669","142","147","771","255","1072","50","193","07-05-2023 10:00:04"
"07086","736","788","202","139","885","298","1158","46","320","07-05-2023 10:00:04"
"07087","790","902","211","142","957","382","1356","70","266","07-05-2023 10:00:04"
"07088","831","926","222","199","1058","278","1374","60","323","07-05-2023 10:00:04"
"07089","653","808","161","141","777","382","1189","62","210","07-05-2023 10:00:04"
"07090","735","796","243","144","834","310","1297","55","179","07-05-2023 10:00:04"
"07091","582","717","145","127","737","290","1031","43","225","07-05-2023 10:00:04"
"07092","701","827","176","147","871","334","1069","37","422","07-05-2023 10:00:04"
"07093","876","889","213","234","910","408","1371","44","350","07-05-2023 10:00:04"
"07094","573","711","138","104","743","299","1049","54","181","07-05-2023 10:00:04"
"07095","764","831","170","189","920","316","1259","72","264","07-05-2023 10:00:04"
"07096","671","813","163","153","862","306","1174","47","263","07-05-2023 10:00:04"
"07097","385","523","87","59","426","336","777","24","107","07-05-2023 10:00:04"
"07098","1031","1162","300","232","1140","521","2007","50","136","07-05-2023 10:00:04"
"07099","499","534","82","82","615","254","952","20","61","07-05-2023 10:00:04"
"07100","553","637","117","84","579","410","1018","37","135","07-05-2023 10:00:04"
"07101","694","813","136","120","727","524","1272","55","180","07-05-2023 10:00:04"
"07102","367","337","126","57","440","81","605","17","82","07-05-2023 10:00:04"
"07103","725","846","164","247","853","307","1178","49","344","07-05-2023 10:00:04"
"07104","752","827","202","149","850","378","1364","44","171","07-05-2023 10:00:04"
"07105","487","561","105","88","548","307","965","20","63","07-05-2023 10:00:04"
"07106","561","645","152","122","629","303","1090","13","103","07-05-2023 10:00:04"
"07107","561","625","140","117","621","308","1083","26","77","07-05-2023 10:00:04"
"07108","590","671","146","121","666","328","1115","38","108","07-05-2023 10:00:04"
"07109","800","905","199","155","930","421","1398","62","245","07-05-2023 10:00:04"
"07110","436","586","95","90","499","338","934","16","72","07-05-2023 10:00:04"
"07111","395","525","97","94","409","320","853","14","53","07-05-2023 10:00:04"
"07112","650","702","150","147","748","307","1178","40","134","07-05-2023 10:00:04"
"07113","593","656","160","152","716","221","1058","14","177","07-05-2023 10:00:04"
"07114","577","659","150","124","684","278","1100","36","100","07-05-2023 10:00:04"
"07115","500","585","129","114","576","266","1004","33","48","07-05-2023 10:00:04"
"07116","690","837","216","160","810","341","1375","36","116","07-05-2023 10:00:04"
"07117","2467","2242","555","596","3181","377","1481","139","3089","07-05-2023 10:00:04"
"07118","582","688","145","134","679","312","1087","37","146","07-05-2023 10:00:04"
"07119","630","717","167","142","770","268","1087","26","234","07-05-2023 10:00:04"
"07120","563","693","136","106","664","350","1051","26","179","07-05-2023 10:00:04"
"07121","551","673","138","106","655","325","936","24","264","07-05-2023 10:00:04"
"07122","594","739","149","108","720","356","1152","31","150","07-05-2023 10:00:04"
"07123","691","742","156","168","734","375","1263","27","143","07-05-2023 10:00:04"
"08001","600","687","133","116","666","372","1108","22","157","07-05-2023 10:00:04"
